"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Amarela";"cor_raca_Branca";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
"77.77777778";"92.5";1;"12.0";"5.0";"5.0";"3.0";2019;17;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;156
"66.66666667";"72.5";1;"8.0";"3.0";"5.0";"4.0";2019;18;1;0;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;70
"100.0";"70.0";1;"8.0";"6.0";"5.0";"3.0";2019;17;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;12
"0.0";"0.0";0;"99.0";"99.0";"99.0";"99.0";2019;18;1;0;0;0;1;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;88
"0.0";"5.0";0;"99.0";"3.0";"99.0";"5.0";2019;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;68
"77.77777778";"87.5";1;"11.0";"5.0";"4.0";"6.0";2019;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;9
"0.0";"0.0";0;"99.0";"99.0";"3.0";"99.0";2019;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;131
"77.77777778";"42.5";1;"99.0";"3.0";"3.0";"4.0";2019;17;0;0;1;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;81
"0.0";"0.0";0;"99.0";"99.0";"99.0";"99.0";2019;17;0;0;1;0;1;"0.0";0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;105
"68.88888889";"30.0";0;"9.0";"3.0";"5.0";"4.0";2019;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;81
"77.77777778";"70.0";1;"12.0";"5.0";"6.0";"1.0";2019;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;106
"88.88888889";"95.0";1;"26.0";"6.0";"5.0";"3.0";2019;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;20
"88.88888889";"90.0";1;"13.0";"6.0";"2.0";"4.0";2020;16;1;0;0;0;1;"0.0";0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;15
"77.77777778";"77.5";1;"8.0";"2.0";"5.0";"4.0";2020;16;1;0;0;0;1;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;32
"100.0";"67.5";1;"10.0";"6.0";"4.0";"5.0";2020;16;1;0;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;15
"100.0";"100.0";1;"8.0";"3.0";"5.0";"5.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;15
"55.55555556";"0.0";0;"19.0";"99.0";"4.0";"5.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;24
"100.0";"82.5";1;"8.0";"2.0";"5.0";"4.0";2020;16;1;0;0;0;1;"0.0";1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;15
"77.77777778";"100.0";1;"8.0";"6.0";"3.0";"3.0";2020;16;1;0;0;1;0;"0.0";0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;15
"100.0";"87.5";1;"8.0";"2.0";"3.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;18
"100.0";"95.0";1;"10.0";"3.0";"3.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;57
"100.0";"100.0";1;"9.0";"4.0";"3.0";"4.0";2020;16;1;0;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;15
"100.0";"90.0";1;"8.0";"6.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;19
"100.0";"95.0";1;"12.0";"6.0";"4.0";"5.0";2020;15;1;0;0;0;1;"0.0";0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;57
"88.88888889";"95.0";1;"10.0";"4.0";"5.0";"5.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;46
"100.0";"100.0";1;"12.0";"12.0";"5.0";"4.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;57
"88.88888889";"50.0";1;"9.0";"6.0";"5.0";"5.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;60
"100.0";"100.0";1;"12.0";"6.0";"5.0";"4.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
"100.0";"95.0";1;"8.0";"5.0";"4.0";"3.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
"100.0";"95.0";1;"11.0";"5.0";"4.0";"3.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;13
"77.77777778";"100.0";1;"8.0";"4.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
"100.0";"95.0";1;"8.0";"3.0";"5.0";"5.0";2020;16;1;0;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
"100.0";"100.0";1;"12.0";"6.0";"4.0";"4.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;15
"88.88888889";"82.5";1;"10.0";"13.0";"4.0";"5.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;43
"77.77777778";"25.0";0;"15.0";"9.0";"99.0";"4.0";2020;36;1;0;0;0;1;"0.0";0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;18
"88.88888889";"50.0";1;"9.0";"5.0";"4.0";"4.0";2020;16;1;0;0;0;1;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;50
"88.88888889";"60.0";1;"12.0";"6.0";"3.0";"4.0";2020;15;1;0;0;0;1;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;51
"100.0";"75.0";1;"12.0";"6.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;41
"100.0";"95.0";1;"8.0";"6.0";"5.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;25
"100.0";"80.0";1;"8.0";"2.0";"1.0";"5.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;63
"100.0";"75.0";1;"8.0";"3.0";"5.0";"4.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
"100.0";"80.0";1;"12.0";"3.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;53
"100.0";"100.0";1;"12.0";"6.0";"3.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;39
"88.88888889";"45.0";1;"12.0";"6.0";"4.0";"4.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;48
"100.0";"95.0";1;"11.0";"5.0";"4.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;47
"77.77777778";"57.5";1;"9.0";"6.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;50
"0.0";"0.0";0;"99.0";"99.0";"99.0";"99.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;60
"100.0";"40.0";0;"9.0";"6.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;3
"100.0";"95.0";1;"12.0";"6.0";"4.0";"5.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;47
"88.88888889";"82.5";1;"9.0";"3.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;39
"88.88888889";"77.5";1;"9.0";"8.0";"5.0";"4.0";2020;19;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;48
"91.11111111";"70.0";1;"8.0";"5.0";"4.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;10
"77.77777778";"60.0";1;"8.0";"6.0";"4.0";"5.0";2020;15;1;0;0;0;1;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;53
"100.0";"85.0";1;"9.0";"5.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;49
"100.0";"100.0";1;"8.0";"3.0";"3.0";"3.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;3
"100.0";"95.0";1;"12.0";"5.0";"5.0";"5.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;23
"100.0";"100.0";1;"8.0";"2.0";"4.0";"3.0";2020;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;9
"88.88888889";"100.0";1;"10.0";"5.0";"4.0";"5.0";2020;15;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
"77.77777778";"95.0";1;"12.0";"6.0";"3.0";"5.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;17
"88.88888889";"92.5";1;"12.0";"6.0";"3.0";"4.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;21
"100.0";"92.5";1;"9.0";"2.0";"5.0";"4.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;61
"88.88888889";"100.0";1;"10.0";"5.0";"3.0";"5.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;60
"88.88888889";"87.5";1;"11.0";"4.0";"5.0";"3.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
"100.0";"90.0";1;"8.0";"2.0";"4.0";"5.0";2020;15;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
"55.55555556";"0.0";0;"12.0";"99.0";"3.0";"99.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;33
"88.88888889";"82.5";1;"11.0";"6.0";"5.0";"99.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;2
"0.0";"0.0";0;"99.0";"99.0";"99.0";"99.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;36
"77.77777778";"57.5";0;"12.0";"6.0";"4.0";"5.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;44
"66.66666667";"90.0";1;"11.0";"2.0";"5.0";"5.0";2020;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;10
"0.0";"0.0";0;"99.0";"99.0";"2.0";"99.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;20
"100.0";"95.0";1;"9.0";"2.0";"5.0";"6.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;37
"88.88888889";"70.0";1;"9.0";"6.0";"1.0";"4.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;34
"26.66666667";"50.0";0;"12.0";"8.0";"1.0";"0.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;37
"80.0";"70.0";1;"13.0";"15.0";"99.0";"0.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;39
"88.88888889";"95.0";1;"10.0";"3.0";"5.0";"5.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;11
"77.77777778";"32.5";0;"10.0";"5.0";"1.0";"5.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;40
"37.77777778";"62.5";0;"8.0";"2.0";"5.0";"6.0";2020;18;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;6
"100.0";"82.5";1;"9.0";"3.0";"4.0";"4.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;47
"57.77777778";"47.5";0;"12.0";"3.0";"3.0";"2.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;47
"15.55555556";"0.0";0;"12.0";"99.0";"99.0";"99.0";2020;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;47
"66.66666667";"0.0";0;"12.0";"99.0";"4.0";"99.0";2020;20;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;10
"44.44444444";"65.0";0;"8.0";"2.0";"2.0";"3.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;10
"88.88888889";"55.0";1;"9.0";"4.0";"4.0";"4.0";2020;15;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
"88.88888889";"72.5";1;"11.0";"6.0";"5.0";"5.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
"88.88888889";"92.5";0;"11.0";"6.0";"5.0";"5.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;10
"100.0";"67.5";1;"9.0";"2.0";"1.0";"5.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;28
"0.0";"0.0";0;"99.0";"99.0";"99.0";"99.0";2020;17;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;4
"77.77777778";"70.0";1;"99.0";"6.0";"1.0";"0.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;39
"88.88888889";"40.0";0;"8.0";"3.0";"5.0";"3.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;52
"0.0";"0.0";0;"99.0";"99.0";"99.0";"99.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;10
"88.88888889";"0.0";0;"12.0";"99.0";"3.0";"0.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;54
"100.0";"100.0";1;"8.0";"4.0";"3.0";"5.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;39
"66.66666667";"60.0";0;"11.0";"6.0";"99.0";"99.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;8
"88.88888889";"0.0";0;"25.0";"99.0";"99.0";"1.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;58
"100.0";"95.0";1;"9.0";"3.0";"3.0";"5.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;59
