"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"('Nota', 'Biologia I')";"('Nota', 'Educacao Fisica I')";"('Nota', 'Filosofia I')";"('Nota', 'Fisica I')";"('Nota', 'Geografia I')";"('Nota', 'Historia I')";"('Nota', 'Lingua Portuguesa e Literatura Brasileira I')";"('Nota', 'Matematica I')";"('Nota', 'Quimica I')";"('Nota', 'Sociologia I')";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Branca";"cor_raca_Indigena";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PCD";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
60;0;0;"7.0";"99.0";"5.0";"99.0";2018;"77.0";"79.0";"52.0";"48.0";"73.0";"58.5";"51.0";"63.0";"74.0";"72.0";17;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;63
92;80;1;"2.0";"1.0";"2.0";"5.0";2019;"82.0";"81.0";"84.0";"97.0";"93.0";"83.0";"85.0";"83.0";"83.0";"82.0";17;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;155
100;100;1;"3.0";"3.0";"5.0";"5.0";2019;"99.0";"100.0";"97.0";"96.0";"96.0";"87.0";"92.0";"93.0";"97.0";"89.0";16;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;155
78;0;0;"2.0";"99.0";"99.0";"2.0";2019;"77.0";"92.0";"78.0";"91.0";"88.0";"73.0";"84.0";"82.0";"73.0";"81.0";17;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;154
92;60;1;"7.0";"10.0";"3.0";"99.0";2019;"35.0";"92.0";"78.0";"83.0";"78.0";"62.0";"81.0";"32.0";"50.0";"80.0";18;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;138
74;90;1;"6.0";"4.0";"3.0";"5.0";2018;"82.0";"76.0";"67.0";"53.5";"79.0";"57.5";"56.0";"70.0";"71.0";"78.0";18;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;74
86;90;1;"5.0";"1.0";"1.0";"5.0";2018;"61.5";"81.5";"62.5";"38.0";"73.5";"54.0";"71.5";"35.5";"60.0";"73.5";17;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;20
44;90;0;"5.0";"6.0";"0.0";"5.0";2019;"71.0";"89.0";"76.0";"59.0";"79.0";"67.0";"79.0";"51.0";"77.0";"84.0";17;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;25
0;0;0;"99.0";"99.0";"99.0";"99.0";2019;"49.0";"89.0";"78.0";"51.0";"71.0";"68.0";"74.0";"27.0";"44.0";"80.0";17;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;21
78;100;0;"2.0";"2.0";"99.0";"5.0";2019;"51.0";"86.0";"78.0";"77.0";"83.0";"58.0";"72.0";"43.0";"58.0";"86.0";22;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;153
100;80;1;"5.0";"1.0";"4.0";"5.0";2019;"58.0";"97.0";"93.0";"81.0";"77.0";"83.0";"79.0";"57.0";"74.0";"81.0";16;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;157
92;100;1;"2.0";"1.0";"3.0";"5.0";2019;"89.0";"93.0";"97.0";"93.0";"90.0";"82.0";"81.0";"92.0";"87.0";"85.0";16;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1
74;80;1;"5.0";"5.0";"0.0";"5.0";2019;"58.0";"93.0";"86.0";"78.0";"91.0";"53.0";"74.0";"70.0";"78.0";"78.0";16;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;157
88;80;1;"2.0";"5.0";"1.0";"5.0";2019;"75.0";"94.0";"77.0";"76.0";"79.0";"67.0";"78.0";"72.0";"62.0";"79.0";18;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;133
