"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"('Nota', 'Biologia I')";"('Nota', 'Educacao Fisica I')";"('Nota', 'Filosofia I')";"('Nota', 'Fisica I')";"('Nota', 'Geografia I')";"('Nota', 'Historia I')";"('Nota', 'Lingua Portuguesa e Literatura Brasileira I')";"('Nota', 'Matematica I')";"('Nota', 'Quimica I')";"('Nota', 'Sociologia I')";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Branca";"cor_raca_Indigena";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PCD";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
"0.0";0;0;"99.0";"99.0";"99.0";"99.0";"2016.0";"65.0";"83.0";"54.0";"50.5";"72.5";"50.5";"53.66666666666666";"53.0";"43.5";"59.0";"19.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0"
"75.0";80;0;"5.0";"5.0";"99.0";"99.0";"2016.0";"52.0";"81.0";"57.0";"52.5";"76.0";"51.0";"51.0";"50.0";"54.0";"50.0";"19.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"75.0";80;0;"1.0";"5.0";"2.0";"5.0";"2017.0";"73.0";"88.5";"68.0";"50.0";"69.0";"48.0";"59.5";"46.0";"60.0";"78.5";"19.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"87.5";90;1;"5.0";"5.0";"99.0";"1.0";"2017.0";"69.0";"96.0";"72.0";"59.5";"74.0";"70.0";"54.0";"53.5";"76.0";"84.0";"18.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"62.5";0;0;"6.0";"99.0";"99.0";"2.0";"2017.0";"72.0";"84.0";"66.0";"52.0";"71.0";"59.5";"50.0";"44.0";"70.0";"74.0";"19.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"20.0"
"75.0";70;1;"3.0";"5.0";"4.0";"99.0";"2017.0";"63.0";"82.0";"38.5";"58.0";"69.0";"59.0";"51.0";"62.5";"56.5";"48.5";"18.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"105.0"
"62.5";80;0;"5.0";"5.0";"0.0";"4.0";"2017.0";"43.0";"77.0";"64.5";"51.0";"65.5";"47.5";"44.0";"40.5";"60.0";"61.5";"20.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"45.0"
"75.0";90;1;"10.0";"5.0";"99.0";"4.0";"2017.0";"74.0";"74.0";"57.0";"73.0";"68.0";"64.0";"70.0";"50.0";"71.0";"75.0";"17.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"115.0"
"75.0";90;1;"1.0";"4.0";"4.0";"4.0";"2017.0";"74.0";"77.0";"60.0";"50.0";"77.0";"58.0";"58.0";"50.0";"72.0";"78.0";"18.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"86.0"
"50.0";0;0;"3.0";"5.0";"4.0";"5.0";"2017.0";"72.0";"84.0";"60.0";"50.0";"80.0";"63.0";"50.0";"52.5";"51.0";"76.0";"18.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"118.0"
