"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Amarela";"cor_raca_Branca";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
75;"80.0";1;"9.0";"1.0";"5.0";"3.0";2019;17;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;156
50;"50.0";0;"8.0";"0.0";"5.0";"4.0";2019;18;1;0;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;70
50;"80.0";1;"8.0";"2.0";"5.0";"3.0";2019;17;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;12
0;"0.0";0;"99.0";"99.0";"99.0";"99.0";2019;18;1;0;0;0;1;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;88
40;"53.3333333333333";0;"8.0";"3.0";"99.0";"5.0";2019;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;68
100;"90.0";1;"14.0";"9.0";"4.0";"6.0";2019;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;9
0;"0.0";0;"99.0";"99.0";"3.0";"99.0";2019;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;131
20;"83.33";0;"5.0";"1.0";"3.0";"4.0";2019;17;0;0;1;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;81
0;"0.0";0;"99.0";"99.0";"99.0";"99.0";2019;17;0;0;1;0;1;"0.0";0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;105
45;"76.66";0;"7.0";"3.0";"5.0";"4.0";2019;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;81
25;"90.0";0;"10.0";"0.0";"6.0";"1.0";2019;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;106
55;"100.0";1;"9.0";"43.0";"5.0";"3.0";2019;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;20
0;"90.0";0;"6.0";"1.0";"2.0";"4.0";2020;16;1;0;0;0;1;"0.0";0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;15
100;"96.0";1;"9.0";"0.0";"5.0";"4.0";2020;16;1;0;0;0;1;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;32
75;"63.0";1;"6.0";"6.0";"4.0";"5.0";2020;16;1;0;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;15
100;"80.0";1;"8.0";"1.0";"5.0";"5.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;15
75;"76.0";0;"8.0";"6.0";"4.0";"5.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;24
40;"86.0";0;"10.0";"1.0";"5.0";"4.0";2020;16;1;0;0;0;1;"0.0";1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;15
100;"83.0";1;"7.0";"5.0";"3.0";"3.0";2020;16;1;0;0;1;0;"0.0";0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;15
70;"100.0";1;"7.0";"0.0";"3.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;18
100;"100.0";1;"7.0";"24.0";"3.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;57
100;"90.0";1;"7.0";"3.0";"3.0";"4.0";2020;16;1;0;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;15
75;"86.0";1;"6.0";"0.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;19
100;"90.0";1;"5.0";"4.0";"4.0";"5.0";2020;15;1;0;0;0;1;"0.0";0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;57
90;"93.0";1;"8.0";"2.0";"5.0";"5.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;46
100;"100.0";1;"7.0";"6.0";"5.0";"4.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;57
75;"90.0";1;"8.0";"24.0";"5.0";"5.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;60
